Movie Title,Opening Weekend Revenue,Theaters Released In,Revenue Per Theater,Date Released
Jurassic World,208806270,4274,48855,6/12/15
Inside Out,90440272,3946,22919,6/19/15
Furious 7,147187040,4004,36760,4/3/15
Minions,115718405,4301,26905,7/10/15
The Martian,54308575,3831,14176,10/2/15
Cinderella ,67877361,3845,17653,3/13/15
Spectre,70403148,3929,17918,11/6/15
Pitch Perfect 2,69216890,3473,19930,5/15/15
Hotel Transylvania 2,48464322,3754,12910,9/25/15
Fifty Shades of Grey,85171450,3646,23360,2/13/15
Straight Outta Compton,60200180,2757,21835,8/14/15
San Andreas,54588173,3777,14452,5/29/15
The Peanuts Movie,44213073,3897,11345,11/6/15
The Good Dinosaur,39155217,3749,10444,11/25/15
Trainwreck,30097040,3158,9530,7/17/15
Creed,29632823,3404,8705,11/25/15
Tomorrowland,33028165,3972,8315,5/22/15
Get Hard,33803253,3175,10646,3/27/15
Taken 3,39201657,3594,10907,1/9/15
Ted 2,33507870,3442,9735,6/26/15
Goosebumps,23618556,3501,6746,10/16/15
Pixels,24011616,3723,6449,7/24/15
Paddington,18966676,3303,5742,1/16/15
The Intern,17728313,3305,5364,9/25/15
Bridge of Spies,15371203,2811,5468,10/16/15
Magic Mike XXL,12857184,3355,3832,7/1/15
The Visit,25427560,3069,8285,9/11/15
The Wedding Ringer,20649306,3003,6876,1/16/15
Black Mass,22635037,3188,7100,9/18/15
The Perfect Guy,25888154,2221,11656,9/11/15
Fantastic Four,25685737,3995,6429,8/7/15
Southpaw,16701294,2772,6024,7/24/15
Insidious Chapter 3,22692741,3002,7559,6/5/15
Poltergeist ,22620386,3240,6981,5/22/15
Jupiter Ascending,18372372,3181,5775,2/6/15
The Gift ,11854273,2503,4736,8/7/15
The Night Before,9880536,2960,3338,11/20/15
Krampus,16293325,2902,5614,12/4/15
The Age of Adaline,13203458,2991,4414,4/24/15
The Longest Ride,13019686,3366,3867,4/10/15
The Boy Next Door,14910105,2602,5730,1/23/15
Hot Pursuit,13942258,3003,4642,5/8/15
Concussion ,10513749,2841,3700,12/25/15
The DUFF,10809149,2575,4197,2/20/15
Unfriended,15845115,2739,5785,4/17/15
Entourage,10283250,3108,3308,6/3/15
Paper Towns,12650140,3031,4173,7/24/15
Chappie,13346782,3201,4169,3/6/15
Crimson Peak,13143310,2984,4404,10/16/15
Point Break ,9800252,2910,3367,12/25/15
Sinister 2,10542116,2766,3811,8/21/15
The Last Witch Hunter,10812861,3082,3508,10/23/15
No Escape,8111264,3355,2417,8/26/15
Run All Night,11012305,3171,3472,3/13/15
Love the Coopers,8317545,2603,3195,11/13/15
The Lazarus Effect,10203437,2666,3827,2/27/15
In the Heart of the Sea,11053366,3103,3562,12/11/15
The Gallows,9808463,2720,3606,7/10/15
Project Almanac,8310252,2893,2872,1/30/15
Finding Dory,135060273,4305,31372,6/17/16
The Secret Life of Pets,104352905,4370,23879,7/8/16
The Jungle Book ,103261464,4028,25635,4/15/16
Deadpool,132434639,3558,37221,2/12/16
Zootopia,75063401,3827,19614,3/4/16
Suicide Squad,133682248,4255,31417,8/5/16
Moana,56631401,3875,14614,11/23/16
Fantastic Beasts and Where To Find Them,74403387,4144,17954,11/18/16
Doctor Strange,85058311,3882,21910,11/4/16
Jason Bourne,59215365,4026,14708,7/29/16
Star Trek Beyond,59253211,3928,15084,7/22/16
Trolls,46581142,4060,11473,11/4/16
Kung Fu Panda 3,41282042,3955,10437,1/29/16
Ghostbusters ,46018755,3963,11612,7/15/16
Central Intelligence,35535250,3508,10129,6/17/16
The Legend of Tarzan,38527856,3561,10819,7/1/16
Sully,35028301,3525,9937,9/9/16
Bad Moms,23817340,3215,7408,7/29/16
The Angry Birds Movie,38155177,3932,9703,5/20/16
The Conjuring 2,40406314,3343,12086,6/10/16
Arrival,24074047,2317,10390,11/11/16
Passengers ,14869736,3478,4275,12/21/16
Sausage Party,34263534,3103,11042,8/12/16
The Magnificent Seven ,34703397,3674,9445,9/23/16
Ride Along 2,35243095,3175,11100,1/15/16
The Accountant,24710273,3332,7416,10/14/16
Alice Through the Looking Glass,26858726,3763,7137,5/27/16
The Girl on the Train ,24536265,3144,7804,10/7/16
Storks,21311407,3922,5433,9/23/16
10 Cloverfield Lane,24727437,3391,7292,3/11/16
Lights Out,21688103,2818,7696,7/22/16
Hacksaw Ridge,15190758,2886,5263,11/4/16
Now You See Me 2,22383146,3232,6925,6/10/16
The Boss,23586645,3480,6777,4/8/16
London Has Fallen,21635601,3490,6199,3/4/16
Miracles from Heaven,14812393,3047,4861,3/16/16
Deepwater Horizon,20223544,3259,6205,9/30/16
Why Him?,11002986,2917,3772,12/23/16
My Big Fat Greek Wedding 2,17861950,3133,5701,3/25/16
Me Before You,18723269,2704,6924,6/3/16
The BFG,18775350,3357,5592,7/1/16
The Shallows,16800868,2962,5672,6/24/16
Office Christmas Party,16890204,3210,5261,12/9/16
Kubo and the Two Strings,12608372,3260,3867,8/19/16
Warcraft,24166110,3400,7107,6/10/16
How to Be Single,17878911,3343,5348,2/12/16
Mike and Dave Need Wedding Dates,16628170,2982,5576,7/8/16
War Dogs,14685305,3258,4507,8/19/16
Almost Christmas,15134235,2376,6369,11/11/16
Money Monster,14788157,3104,4764,5/13/16
Allied,12701743,3160,4019,11/23/16
Nerve,9445456,2538,3721,7/27/16
Risen,11801271,2915,4048,2/19/16
The Nice Guys,11203270,2865,3910,5/20/16
The Boy ,10778392,2671,4035,1/22/16
Dirty Grandpa,11111875,2912,3815,1/22/16
The 5th Wave,10326356,2908,3551,1/22/16
Inferno,14860425,3576,4155,10/28/16
Gods of Egypt,14123903,3117,4531,2/26/16
Collateral Beauty,7102085,3028,2345,12/16/16
When the Bough Breaks,14202323,2246,6323,9/9/16
Zoolander 2,13841146,3394,4078,2/12/16
The Finest Hours,10288932,3143,3273,1/29/16
The Forest,12741176,2451,5198,1/8/16
The Witch,8800230,2046,4301,2/19/16
Beauty and the Beast ,174750616,4210,41508,3/17/17
Wonder Woman,103251471,4165,24790,6/2/17
Guardians of the Galaxy 2,146510104,4347,33703,5/5/17
Despicable Me 3,72434025,4529,15993,6/30/17
Justice League,93842239,4051,23165,11/17/17
Logan ,88411916,4071,21717,3/3/17
The Fate of the Furious,98786705,4310,22920,4/14/17
Coco,50802605,3987,12742,11/22/17
Dunkirk,50513488,3720,13578,7/21/17
Get Out,33377060,2781,12001,2/24/17
The LEGO Batman Movie,53003468,4088,12965,2/10/17
The Boss Baby,50198902,3773,13304,3/31/17
The Greatest Showman,8805843,3006,2929,12/20/17
Cars 3,53688680,4256,12614,6/16/17
War for the Planet of the Apes,56262929,4022,13988,7/14/17
Girls Trip,31201920,2591,12042,7/21/17
Fifty Shades Darker,46607250,3710,12562,2/10/17
Baby Driver,20553320,3226,6371,6/28/17
Pitch Perfect 3,19928525,3447,5781,12/22/17
Murder on the Orient Express ,28681472,3341,8584,11/10/17
Blade Runner 2049,32753122,4058,8071,10/6/17
The Emoji Movie,24531923,4075,6020,7/28/17
Power Rangers ,40300288,3693,10912,3/24/17
Ferdinand,13401586,3621,3701,12/15/17
The Mummy ,31688375,4035,7853,6/9/17
A Bad Moms Christmas,16759161,3615,4636,11/1/17
The LEGO Ninjago Movie,20433071,4047,5048,9/22/17
Baywatch,18503871,3647,5073,5/25/17
The Shack,16172119,2888,5599,3/3/17
Happy Death Day,26039025,3149,8268,10/13/17
Atomic Blonde,18286420,3304,5534,7/28/17
American Made,16776390,3024,5547,9/29/17
The Dark Tower,19153698,3451,5550,8/4/17
Snatched,19542248,3501,5581,5/12/17
The Great Wall,18469620,3326,5553,2/17/17
Going in Style ,11932330,3061,3898,4/7/17
All Eyez on Me,26435354,2471,10698,6/16/17
47 Meters Down,11205561,2270,4936,6/16/17
Valerian and the City of a Thousand Planets,17007624,3553,4786,7/21/17
The Star,9812674,2837,3458,11/17/17
Ghost in the Shell ,18676033,3440,5429,3/31/17
Jigsaw,16640452,2941,5658,10/27/17
American Assassin,14846778,3154,4707,9/15/17
The Foreigner,13113024,2515,5213,10/13/17
Geostorm,13707376,3246,4222,10/20/17
Monster Trucks,10950705,3119,3510,1/13/17
Fist Fight,12201873,3185,3831,2/17/17
Kidnap ,10016323,2378,4212,8/4/17
The Mountain Between Us,10551336,3088,3416,10/6/17
Rings,13002632,2931,4436,2/3/17
Logan Lucky,7600036,3031,2507,8/18/17
Home Again,8567881,2940,2914,9/8/17
The House,8724795,3134,2783,6/30/17
All the Money in the World,5584684,2074,2692,12/25/17
Downsizing,4954287,2668,1856,12/22/17
The Bye Bye Man,13501349,2220,6081,1/13/17
Rough Night,8004283,3162,2531,6/16/17
Black Panther,202003951,4020,50249,2/16/18
Incredibles 2,182687905,4410,41425,6/15/18
Aquaman,67873522,4125,16454,12/21/18
Deadpool 2,125507153,4349,28858,5/18/18
Bohemian Rhapsody,51061119,4000,12765,11/2/18
A Star is Born ,42908051,3686,11640,10/5/18
Venom ,80255756,4250,18883,10/5/18
Ralph Breaks the Internet,56237634,4017,13999,11/21/18
A Quiet Place,50203562,3508,14311,4/6/18
Crazy Rich Asians,26510140,3384,7833,8/15/18
Mary Poppins Returns,23523121,4090,5751,12/19/18
Halloween ,76221545,3928,19404,10/19/18
The Meg,45402195,4118,11025,8/10/18
Ready Player One,41764050,4234,9863,3/29/18
Bumblebee,21654047,3550,6099,12/21/18
The Nun,53807379,3876,13882,9/7/18
Creed 2,35574710,3441,10338,11/21/18
Peter Rabbit,25010928,3725,6714,2/9/18
The Mule,17509431,2588,6765,12/14/18
The Equalizer 2,36011640,3388,10629,7/20/18
Rampage ,35753093,4101,8718,4/13/18
A Wrinkle in Time,33123609,3980,8322,3/9/18
Fifty Shades Freed,38560195,3768,10233,2/9/18
Smallfoot,23045635,4131,5578,9/28/18
Night School ,27257615,3010,9055,9/28/18
The First Purge,17374280,3031,5732,7/4/18
Game Night,17005332,3488,4875,2/23/18
Book Club,13582231,2781,4883,5/18/18
The House With A Clock In Its Walls,26608020,3592,7407,9/21/18
Skyscraper,24905015,3782,6585,7/13/18
Instant Family,14504315,3286,4413,11/16/18
Blockers,20556350,3379,6083,4/6/18
Pacific Rim Uprising,28116535,3708,7582,3/23/18
Tomb Raider,23633317,3854,6132,3/16/18
The Nutcracker and the Four Realms,20352491,3766,5404,11/2/18
A Simple Favor,16011689,3102,5161,9/14/18
Life of the Party ,17886075,3656,4892,5/11/18
The Predator ,24632284,4037,6101,9/14/18
I Feel Pretty,16030218,3440,4659,4/20/18
Vice,7768371,2442,3181,12/25/18
Red Sparrow,16853422,3056,5514,3/2/18
Breaking In ,17630285,2537,6949,5/11/18
12 Strong,15815025,3002,5268,1/19/18
Den of Thieves,15206108,2432,6252,1/19/18
First Man,16006065,3640,4397,10/12/18
Hereditary,13575172,2964,4580,6/8/18
Sherlock Gnomes,10604774,3662,2895,3/23/18
Uncle Drew,15242781,2742,5559,6/29/18
Widows,12361307,2803,4410,11/16/18
Truth or Dare,18667855,3029,6163,4/13/18
Paddington 2,11001961,3702,2971,1/12/18
Second Act,6489983,2607,2489,12/21/18
The Commuter,13701452,2892,4737,1/12/18
Mile 22,13710825,3520,3895,8/17/18
Death Wish ,13010267,2847,4569,3/2/18
The Spy Who Dumped Me,12103043,3111,3890,8/3/18
Annihilation,11071584,2012,5502,2/23/18
Adrift,11603039,3015,3848,6/1/18
Robin Hood ,9195670,2827,3252,11/21/18
Super Troopers 2,15181624,2038,7449,4/20/18
Holmes and Watson,7411522,2776,2669,12/25/18
Slender Man,11371866,2358,4822,8/10/18
Winchester,9307626,2480,3753,2/2/18
White Boy Rick,8860431,2504,3538,9/14/18
Overlord,10202108,2859,3568,11/9/18
